id,label,text,prediction,n_models_error,models_with_error
2233,ham,Am surfing online store. For offers do you want to buy any thing.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
2241,ham,Tell your friends what you plan to do on Valentines day @ <URL>,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2248,ham,Its posible dnt live in <#> century cm frwd n thnk different,spam,1,['gpt-4o-mini']
2269,ham,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied ""Boost is d secret of my energy"" n instantly d girl shouted ""our energy"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2278,ham,"Hi, Mobile no. <#> has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2283,ham,Your pussy is perfect!,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
2287,ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
2290,ham,PICK UR FONE UP NOW U DUMB?,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
2302,ham,Jesus christ bitch I'm trying to give you drugs answer your fucking phone,spam,1,['gpt-4o-mini']
2306,ham,"Solve d Case : A Man Was Found Murdered On <DECIMAL> . <#> AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4.1']"
2311,ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.,spam,1,['gpt-3.5-turbo-0125']
2316,ham,"Madam,regret disturbance.might receive a reference check from DLF Premarica.kindly be informed.Rgds,Rakhesh,Kerala.",,1,['gpt-5-mini']
2327,spam,Guess who am I?This is the first time I created a web page WWW.ASJESUS.COM read all I wrote. I'm waiting for your opinions. I want to be your friend 1/1,ham,2,"['gpt-4.1-mini', 'gpt-5-mini']"
2331,ham,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" <#> lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for <#> yrs. Can give <#> crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than <#> social projects. Every citizen can get monthly <#> /- for <#> yrs. No need of World Bank & IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",spam,5,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini']"
2342,ham,"Yes but i dont care! I need you bad, princess!",spam,1,['gpt-3.5-turbo-0125']
2363,ham,He is world famamus....,spam,1,['gpt-4o-mini']
2365,ham,Lol well don't do it without me. We could have a big sale together.,spam,1,['gpt-3.5-turbo-0125']
2370,ham,"Princess, i like to make love <#> times per night. Hope thats not a problem!",spam,1,['gpt-3.5-turbo-0125']
2391,ham,HCL chennai requires FRESHERS for voice process.Excellent english needed.Salary upto <#> .Call Ms.Suman <#> for Telephonic interview -via Indyarocks.com,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2397,ham,"Ola would get back to you maybe not today but I ve told him you can be his direct link in the US in getting cars he bids for online, you arrange shipping and you get a cut. Or U????? For a partnership where U????? Invest money for shipping and he takes care of the rest!U??Wud b self reliant soon dnt worry",spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
2427,ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.,spam,1,['gpt-5-nano']
2433,ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together & fuelled by love & concern prior 2 her grief & pain. Pls join in dis chain & pass it. STOP VIOLENCE AGAINST WOMEN.",spam,2,"['gpt-5-nano', 'gpt-5']"
2434,ham,So are you guys asking that i get that slippers again or its gone with last year,,1,['gpt-5-mini']
2439,ham,Please sen :)my kind advice :-)please come here and try:-),spam,1,['gpt-5-nano']
2440,ham,I'm done. C ü there.,,1,['gpt-5-mini']
2447,ham,"Some friends want me to drive em someplace, probably take a while",,1,['gpt-5-mini']
2479,ham,"My friend just got here and says he's upping his order by a few grams (he's got $ <#> ), when can you get here?",spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
2492,ham,R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,spam,1,['gpt-4o-mini']
2502,ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2508,ham,S da..al r above <#>,spam,1,['gpt-4o-mini']
2530,ham,"Hi, can i please get a <#> dollar loan from you. I.ll pay you back by mid february. Pls.",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2532,ham,Do you like shaking your booty on the dance floor?,spam,1,['gpt-3.5-turbo-0125']
2543,spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",ham,3,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5']"
2546,ham,R u meeting da ge at nite tmr?,,1,['gpt-5-mini']
2548,ham,Why de. You looking good only:-)..,,1,['gpt-5-mini']
2556,ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,spam,1,['gpt-3.5-turbo-0125']
2576,ham,Can you use foreign stamps for whatever you send them off for?,,1,['gpt-5-mini']
2577,spam,FROM 88066 LOST £12 HELP,ham,2,"['gpt-5', 'gpt-5-mini']"
2579,ham,"Feb <#> is ""I LOVE U"" day. Send dis to all ur ""VALUED FRNDS"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr",spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2590,ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,,1,['gpt-5-mini']
2593,ham,Cool. I am <#> inches long. hope you like them big!,spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
2634,ham,"Open rebtel with firefox. When it loads just put plus sign in the user name place, and it will show you two numbers. The lower number is my number. Once you pick that number the pin will display okay!",spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2643,spam,How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2646,ham,Send me your id and password,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2655,ham,Yeah get the unlimited,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
2658,ham,Ü got wat to buy tell us then ü no need to come in again.,spam,1,['gpt-3.5-turbo-0125']
2659,ham,When you are big..| God will bring success.,spam,1,['gpt-4o-mini']
2662,ham,Well there's still a bit left if you guys want to tonight,,1,['gpt-5']
2675,ham,Yes princess! I want to catch you with my big strong hands...,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
2681,ham,Some are lasting as much as 2 hours. You might get lucky.,spam,1,['gpt-5-nano']
2688,spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,ham,6,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2695,ham,Its normally hot mail. Com you see!,spam,1,['gpt-4o-mini']
2706,ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall & send this to ur frndZ & See how many miss calls u get. If u get 6missed U marry ur Lover.,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2729,ham,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,,1,['gpt-5-mini']
2749,ham,Babe? You said 2 hours and it's been almost 4 ... Is your internet down ?,,1,['gpt-5-mini']
2760,ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
2762,ham,"Helloooo... Wake up..! ""Sweet"" ""morning"" ""welcomes"" ""You"" ""Enjoy"" ""This Day"" ""with full of joy"".. ""GUD MRNG"".",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
2769,spam,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,ham,1,['gpt-5-mini']
2786,ham,Hi' Test on <#> rd ....,spam,1,['gpt-4o-mini']
2787,ham,Only 2% students solved this CAT question in 'xam... 5+3+2= <#> 9+2+4= <#> 8+6+3= <#> then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.,spam,1,['gpt-3.5-turbo-0125']
2788,ham,Yo do you know anyone <#> or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,spam,1,['gpt-3.5-turbo-0125']
2812,ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
2815,ham,"""NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT""",spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
2817,spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2823,ham,Sary just need Tim in the bollox &it hurt him a lot so he tol me!,spam,1,['gpt-3.5-turbo-0125']
2830,spam,"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",,1,['gpt-5-mini']
2834,ham,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for!",spam,1,['gpt-4o-mini']
2844,ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
2855,ham,Imagine Life WITHOUT ME... see.. How fast u are searching me?Don't worry.. l'm always there To disturb U.. Goodnoon..:),spam,1,['gpt-3.5-turbo-0125']
2861,ham,"<#> is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, & HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas <#> Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini']"
2874,ham,What is your record for one night? :),,1,['gpt-5-mini']
2879,ham,Get ready for <#> inches of pleasure...,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
2888,ham,"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",,1,['gpt-5-mini']
2914,ham,Somebody should go to andros and steal ice,spam,2,"['gpt-5-nano', 'gpt-4o-mini']"
2930,ham,Am going to take bath ill place the key in window:-),,1,['gpt-5-mini']
2933,ham,staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,spam,1,['gpt-3.5-turbo-0125']
2952,ham,"Wat time liao, where still got.",,1,['gpt-5']
2964,ham,Thats cool. i liked your photos. You are very sexy!,spam,1,['gpt-3.5-turbo-0125']
2976,spam,sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP,,1,['gpt-5']
3008,ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.,,1,['gpt-5-mini']
3009,ham,There the size of elephant tablets & u shove um up ur ass!!,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3011,ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",spam,1,['gpt-3.5-turbo-0125']
3021,ham,I will lick up every drop :) are you ready to use your mouth as well?,spam,1,['gpt-3.5-turbo-0125']
3040,ham,What's ur pin?,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3053,ham,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",spam,5,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-4o-mini', 'gpt-4.1']"
3065,ham,"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....",,1,['gpt-5-mini']
3067,ham,Pls accept me for one day. Or am begging you change the number.,spam,1,['gpt-3.5-turbo-0125']
3068,ham,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3087,ham,I will send them to your email. Do you mind <#> times per night?,spam,1,['gpt-5-nano']
3092,ham,Raviyog Peripherals bhayandar east,spam,1,['gpt-4o-mini']
3121,spam,RCT' THNQ Adrian for U text. Rgds Vatian,ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3125,ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name <#> janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra <#> % true.. Don't neglet.,spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3170,ham,R u sure they'll understand that! Wine * good idea just had a slurp!,,1,['gpt-5-mini']
3174,spam,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3188,ham,Also andros ice etc etc,,2,"['gpt-5-mini', 'gpt-4o-mini']"
3190,ham,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",,1,['gpt-5']
3199,ham,Ok can...,,1,['gpt-5-mini']
3219,ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav <#> IQ. Tis s IAS question try to answer.,spam,1,['gpt-4o-mini']
3226,spam,LIFE has never been this much fun and great until you came in. You made it truly special for me. I won't forget you! enjoy @ one gbp/sms,ham,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini']"
3228,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470",,1,['gpt-5-mini']
3229,spam,Welcome! Please reply with your AGE and GENDER to begin. e.g 24M,ham,3,"['gpt-5', 'gpt-5-mini', 'gpt-4.1']"
3243,ham,"""Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx""",,1,['gpt-5-mini']
3260,ham,"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",spam,1,['gpt-3.5-turbo-0125']
3268,ham,i am seeking a lady in the street and a freak in the sheets. Is that you?,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3284,spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,,1,['gpt-5-mini']
3300,ham,says the <#> year old with a man and money. I'm down to my last <#> . Still waiting for that check.,spam,1,['gpt-5-nano']
3310,ham,I'm serious. You are in the money base,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3313,ham,I always chat with you. In fact i need money can you raise me?,spam,1,['gpt-3.5-turbo-0125']
3322,ham,Try neva mate!!,spam,1,['gpt-3.5-turbo-0125']
3326,ham,Should i send you naughty pix? :),spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
3330,ham,Prepare to be pounded every night...,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
3331,ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them <#> sent msg i wil explain u later.",spam,1,['gpt-3.5-turbo-0125']
3336,ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,spam,2,"['gpt-4.1-mini', 'gpt-4o-mini']"
3340,ham,Ü come lt 25 n pass to me lar,spam,1,['gpt-4o-mini']
3341,ham,I'm e person who's doing e sms survey...,spam,1,['gpt-4o-mini']
3346,ham,"I got like $ <#> , I can get some more later though. Get whatever you feel like",spam,1,['gpt-5-nano']
3355,ham,No da. . Vijay going to talk in jaya tv,,1,['gpt-5-mini']
3357,ham,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,,1,['gpt-5-mini']
3386,ham,How much would it cost to hire a hitman,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3398,ham,Hey morning what you come to ask:-) pa...,,1,['gpt-5']
3413,ham,I meant as an apology from me for texting you to get me drugs at <#> at night,spam,1,['gpt-4o-mini']
3421,ham,Thank you princess! You are so sexy...,spam,1,['gpt-4o-mini']
3428,spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",ham,1,['gpt-5-nano']
3438,ham,Hmm ill have to think about it... ok you're forgiven! =D,,1,['gpt-5-mini']
3444,ham,Senthil group company Apnt 5pm.,spam,1,['gpt-3.5-turbo-0125']
3456,ham,"Honey ? Sweetheart ? Darling ? Sexy buns ? Sugar plum ? Loverboy ? I miss you, boytoy ... *smacks your ass* Did you go to the gym too ?",spam,1,['gpt-3.5-turbo-0125']
3458,ham,Yeah imma come over cause jay wants to do some drugs,spam,1,['gpt-3.5-turbo-0125']
3473,ham,Great! I shoot big loads so get ready!,spam,3,"['gpt-3.5-turbo-0125', 'gpt-4o-mini', 'gpt-4.1']"
3480,ham,"Hello, As per request from <#> Rs.5 has been transfered to you",spam,1,['gpt-5-nano']
3487,ham,Hey loverboy! I love you !! I had to tell ... I look at your picture and ache to feel you between my legs ... Fuck I want you ... I need you ... I crave you .,spam,1,['gpt-3.5-turbo-0125']
3490,ham,Ok. Very good. Its all about making that money.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3492,ham,Aight do you still want to get money,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3501,ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.,,1,['gpt-5-mini']
3513,ham,"Isn't frnd a necesity in life? imagine urself witout a frnd.. hw'd u feel at ur colleg? wat'll u do wth ur cell? wat abt functions? thnk abt events espe'll cared, missed & irritated u? 4wrd it to all those dear-loving frnds wthout whom u cant live.. I jst did it.. Takecare..:) GOODMORNING",spam,1,['gpt-3.5-turbo-0125']
3518,ham,"Plz note: if anyone calling from a mobile Co. & asks u to type # <#> or # <#> . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN.",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3521,spam,2/2 146tf150p,ham,3,"['gpt-5-nano', 'gpt-5-mini', 'gpt-4.1']"
3555,ham,"Dear friends, sorry for the late information. Today is the birthday of our loving Ar.Praveesh. for more details log on to face book and see. Its his number + <#> . Dont miss a delicious treat.",spam,1,['gpt-4o-mini']
3560,ham,WHORE YOU ARE UNBELIEVABLE.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3562,ham,"Are you sure you don't mean ""get here, we made you hold all the weed""",spam,1,['gpt-4o-mini']
3565,ham,Love it! I want to flood that pretty pussy with cum...,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3568,ham,Also remember the beads don't come off. Ever.,,1,['gpt-5-mini']
3569,ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,spam,1,['gpt-5-nano']
3570,ham,For The First Time In The History 'Need' 'Comfort' And 'Luxury' Are Sold At Same Price In India..!! Onion-Rs. <#> Petrol-Rs. <#> Beer-Rs. <#> SHESIL <#>,spam,6,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3576,ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited <#> rs and il be getiing <#> rs..i can draw my acc wen it is <#> rs..",spam,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3595,ham,"Please protect yourself from e-threats. SIB never asks for sensitive information like Passwords,ATM/SMS PIN thru email. Never share your password with anybody.",spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3597,ham,Hi. I'm always online on yahoo and would like to chat with you someday,spam,1,['gpt-3.5-turbo-0125']
3603,ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get <#> % u get <#> %. Deal?,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3607,ham,Early bird! Any purchases yet?,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3617,ham,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,spam,3,"['gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-4o-mini']"
3632,spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50",ham,1,['gpt-5-mini']
3650,ham,"Gumby's has a special where a <#> "" cheese pizza is $2 so I know what we're doin tonight",spam,3,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3654,ham,Cab is available.they pick up and drop at door steps.,spam,5,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
3656,ham,Unlimited texts. Limited minutes.,spam,5,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini']"
3688,ham,I havent add ü yet right..,,1,['gpt-5-mini']
3694,ham,Sos! Any amount i can get pls.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3695,ham,"Playin space poker, u?",,1,['gpt-5-mini']
3698,ham,They r giving a second chance to rahul dengra.,spam,1,['gpt-3.5-turbo-0125']
3700,ham,WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,spam,1,['gpt-4o-mini']
3704,ham,She's borderline but yeah whatever.,,1,['gpt-5-mini']
3706,ham,I will be gentle princess! We will make sweet gentle love...,spam,1,['gpt-3.5-turbo-0125']
3735,ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3753,ham,We'll you pay over like <#> yrs so its not too difficult,spam,1,['gpt-5-nano']
3754,spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,,1,['gpt-5-mini']
3780,ham,"Yes, princess. Are you going to make me moan?",spam,1,['gpt-3.5-turbo-0125']
3786,ham,I am taking you for italian food. How about a pretty dress with no panties? :),spam,1,['gpt-3.5-turbo-0125']
3793,ham,What time do u get out?,,1,['gpt-5-mini']
3817,ham,Fyi I'm gonna call you sporadically starting at like <#> bc we are not not doin this shit,,1,['gpt-5-mini']
3819,spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.,ham,7,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-nano', 'gpt-5', 'gpt-5-mini', 'gpt-4o-mini', 'gpt-4.1']"
3856,ham,I want to lick your pussy now...,spam,4,"['gpt-4.1-mini', 'gpt-3.5-turbo-0125', 'gpt-5-mini', 'gpt-4o-mini']"
3868,ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,,1,['gpt-5-mini']
3878,ham,Is it your yahoo boys that bring in the perf? Or legal.,spam,2,"['gpt-3.5-turbo-0125', 'gpt-4o-mini']"
3886,spam,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)",ham,4,"['gpt-4.1-mini', 'gpt-5-nano', 'gpt-5-mini', 'gpt-4o-mini']"
3904,ham,I told that am coming on wednesday.,,1,['gpt-5-mini']
3909,ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,,1,['gpt-5-mini']
3927,ham,"Well the general price is <#> /oz, let me know if/when/how much you want",spam,1,['gpt-5-nano']
